timestamp,satisfaction_score,participation_frequency,primary_usage,feeling_included,moderation_score,desired_content,useful_channels,channel_suggestions,event_participation,positive_feedback,improvement_feedback,additional_feedback,volunteer_interest,feeling_included_binary,event_participation_binary,volunteer_interest_binary,positive_feedback_polarity,positive_feedback_subjectivity,positive_feedback_sentiment,improvement_feedback_polarity,improvement_feedback_subjectivity,improvement_feedback_sentiment,additional_feedback_polarity,additional_feedback_subjectivity,additional_feedback_sentiment,desired_content_polarity,desired_content_subjectivity,desired_content_sentiment,channel_suggestions_polarity,channel_suggestions_subjectivity,channel_suggestions_sentiment
2025-02-25 10:24:44.400,7,Occasionally,Tech discussions,Yes,9,I like the content as it is but perhaps more projects people can jump into?,"#general, #full-stack, #resources, #fit-devs, #adulting",None that I can think of,Sometimes,Just how welcoming the community is and the vibe is fun. ,I think we'll probably need more events and activities if possible. Get more new people in. Perhaps have like a bulletin board of open source projects that need contributors.,,Yes,1,0.5,1,0.3,0.2,Positive,0.22727272727272724,0.5909090909090909,Positive,,,,0.5,0.5,Positive,0.0,0.0,Neutral
2025-02-25 10:26:20.917,8,Occasionally,Open-source collaboration,Yes,8,,"#full-stack, #adulting, #tech-news",,No,,,,Yes,1,0.0,1,,,,,,,,,,,,,,,
2025-02-25 11:05:20.714,4,Rarely,Open-source collaboration,Sometimes,3,"linux, iot",#general,hangouts fullstack etc. people will always find and talk in general. remove unnecessary channels,No,"discussions, sharing",active members (specially owners and mods),"weekly engagement maybe? solve puzzles, gathering, events, free stuff u get for collaborating in open source",idk what volunteer means,0,0.0,0,0.0,0.0,Neutral,0.11190476190476191,0.5857142857142856,Positive,0.2,0.65,Positive,0.0,0.0,Neutral,-0.175,0.7,Negative
2025-02-25 12:49:56.190,8,Daily,Just hanging out,Yes,9,"OSS stuff, collaborations on projects, meetups and socialization events.","#general, #fit-devs, #anime-and-manga",programming language specific channels and help channel improved to be (post) type channel like #suggestions,Sometimes,The people.,Engagement,"We need to be more active, do more stuff and build more stuff",Yes,1,0.5,1,0.0,0.0,Neutral,0.0,0.0,Neutral,0.3416666666666667,0.525,Positive,0.0,0.0,Neutral,0.0,0.125,Neutral
2025-02-25 12:54:03.415,7,Occasionally,Just hanging out,Yes,8,,"#general, #resources, #off-topic, #fit-devs, #adulting, #showcase, #show-ur-setup",Yes. I believe there are many channels to remove.,Sometimes,Potential networking + friendships,Engaging with other developer communities and companies,Let's do better!,Yes,1,0.5,1,0.0,1.0,Neutral,0.1375,0.5375,Positive,0.625,0.5,Positive,,,,0.5,0.5,Positive
2025-02-25 23:56:53.456,5,Occasionally,Open-source collaboration,Sometimes,5,Web Development and Blockchain,"#general, #full-stack, #web3, #tech-news, #show-ur-setup",,No,For introducing open source to Junior Deva like me,Having a online setup or trainings,To have more events or trainings.,Yes,0,0.0,1,0.0,0.5,Neutral,0.0,0.0,Neutral,0.5,0.5,Positive,0.0,0.0,Neutral,,,
2025-02-26 00:27:17.868,10,Rarely,Just hanging out,Yes,8,,"#general, #full-stack, #off-topic",,No,,,,"No, maybe next time!",1,0.0,0,,,,,,,,,,,,,,,
2025-02-26 02:02:39.507,8,Rarely,Just hanging out,Yes,9,"Maybe...
1) Pull requests in Showcase channel.
2) Created ""issue"" in General channel that people may find interesting, and may contribute to.
3) Discussions on using FOSS alternatives. I think it's easier to contribute if you use it at all.
4) Maybe this is niche, but related to 3), discussions on FOSS that are related to other industries, and even industries that are not that penetrated by FOSS yet. As an FOSS contributor, I looked a bit on Power Systems related FOSS (ex. Gridcal), because I am an EE grad, but my contributions will be limited because I never practiced it. Something like this...","#general, #full-stack, #info-sec, #resources, #off-topic, #adulting, #tech-news, #showcase, #hiring",,Sometimes,,Announcements on events. I missed the SOSCONPH last year.,,Yes,1,0.5,1,,,,0.0,0.06666666666666667,Neutral,,,,0.05051020408163266,0.3882653061224489,Neutral,,,
2025-02-26 07:35:32.093,10,Rarely,Just hanging out,Sometimes,9,Open source apps and new ideas,"#intro, #general, #ai-things, #full-stack, #resources, #hangouts, #off-topic, #fit-devs, #adulting, #tech-news, #showcase, #show-ur-setup, #gaming, #hiring, #chillz, #afk",,No,Just the pure tech discussions,,Probably host a server wide event where all members can join.,Yes,0,0.0,1,0.21428571428571427,0.5,Positive,,,,-0.1,0.4,Neutral,0.06818181818181818,0.4772727272727273,Neutral,,,
2025-02-26 08:20:48.335,7,Occasionally,Open-source collaboration,Yes,8,"Tech discussion, mainly on web deevlopment","#general, #hiring",,No,The network,Interaction,,Yes,1,0.0,1,0.0,0.0,Neutral,0.0,0.0,Neutral,,,,0.16666666666666666,0.3333333333333333,Positive,,,
2025-03-05 13:29:08.247,5,Occasionally,"Tech discussions, Events",Sometimes,5,"More of the most frequently used technologies and if there would be boilerplates for those technologies that I can use for sandbox purposes, that would be great.","#intro, #general, #full-stack, #info-sec, #tech-news",I don't know if I can help with this.,No,,"Frequency of the announcements for upcoming major happenings around the tech world, example Skype will be decommissioned in May 2025, etc.",,"No, maybe next time!",0,0.0,0,,,,0.0625,0.5,Neutral,,,,0.47500000000000003,0.5125,Positive,0.0,0.0,Neutral
2025-03-05 13:30:57.094,8,Occasionally,Just hanging out,Yes,8,self-hosting ,"#general, #hangouts, #off-topic, #tech-news, #gaming","No, it's fine as is.",No,People seem friendly and supportive,,,I'm not decided yet,1,0.0,0,0.4375,0.75,Positive,,,,,,,0.0,0.0,Neutral,0.4166666666666667,0.5,Positive
2025-03-05 13:51:00.027,8,Weekly,Tech discussions,Sometimes,9,,"#ai-things, #full-stack, #web3, #info-sec, #resources, #memes, #tech-news",#certifications and #career-advice should be added.,No,The variety of channels and also the community.,Better Onboarding for New Members – A pinned message or automated guide in #intro could help new members navigate the server more easily.,A monthly spotlight for active contributors or featured open-source projects.,Yes,0,0.0,1,0.0,0.0,Neutral,0.3412121212121212,0.5484848484848486,Positive,-0.13333333333333333,0.6,Negative,,,,0.0,0.0,Neutral
2025-03-05 17:00:39.424,8,Occasionally,Networking,Yes,8,,"#general, #showcase",,Sometimes,Community ,Not sure of any,,"No, maybe next time!",1,0.5,0,0.0,0.0,Neutral,-0.25,0.8888888888888888,Negative,,,,,,,,,
2025-03-05 17:05:29.590,8,Weekly,Tech discussions,Yes,9,"Somewhere devs can hangout like the off-topic section where they can get to know each other. It's always nice to have friends, even online, with the same ethos.","#general, #off-topic",,Yes,Everyone is nice and approachable.,Engagement.,,Yes,1,1.0,1,0.6,1.0,Positive,0.0,0.0,Neutral,,,,0.15833333333333333,0.5,Positive,,,
2025-03-05 17:16:19.933,5,Rarely,Networking,No,5,,"#general, #fit-devs, #adulting, #anime-and-manga, #gaming",,No,,"Be more ""political""",,busy volunteering elsewhere,0,0.0,0,,,,0.25,0.3,Positive,,,,,,,,,
2025-03-05 17:41:39.726,7,Occasionally,Open-source collaboration,Yes,7,Coding challenges,#showcase,,Yes,lots of resources and people to learn from,none as of moment,none,Yes,1,1.0,1,0.0,0.0,Neutral,0.0,0.0,Neutral,0.0,0.0,Neutral,0.0,0.0,Neutral,,,
2025-03-05 20:17:17.774,8,Never,Just hanging out,Yes,8,More beginner friendly topics I guess :),#ai-things,,Yes,I love that there are these kinds of severs that foster free learning and collaborations.,I don't think I am at liberty to comment about this as I am not active in this channel.,I will try my best to visit more often.,Yes,1,1.0,1,0.45,0.7,Positive,0.06666666666666667,0.6,Neutral,0.75,0.4,Positive,0.4583333333333333,0.6666666666666666,Positive,,,
2025-03-06 08:16:17.271,9,Occasionally,Tech discussions,Yes,8,More blogs to read.,"#general, #resources",,Sometimes,,,,"No, maybe next time!",1,0.5,0,,,,,,,,,,0.5,0.5,Positive,,,
2025-03-06 16:34:16.182,7,Rarely,Just hanging out,Sometimes,5,interesting projects that we can contribute,"#general, #fit-devs, #showcase",none,Sometimes,to showcase projects,"open source projects, it doesn’t seem to be engaging and projects aren’t that interesting to contribute",none,I'm not decided yet,0,0.5,0,0.0,0.0,Neutral,0.3,0.5666666666666667,Positive,0.0,0.0,Neutral,0.5,0.5,Positive,0.0,0.0,Neutral
